,car,glass,plate,truck,Vehicles,Dinnerware,closer2vehicles,closer2dinnerware,,,,,c2v,c2d
65,0.003070772,0.002533615,0.002946675,0.001541495,0.002306134,0.002740145,TRUE,FALSE,,1,0,,,
66,0.003638506,0.003133357,0.002504945,0.003958106,0.003798306,0.002819151,FALSE,TRUE,,0,1,,,
67,0.002477407,0.003110886,0.002740741,0.003826916,0.003152162,0.002925813,FALSE,TRUE,,0,1,,,
68,0.001875401,0.002024531,0.002125323,0.002789378,0.002332389,0.002074927,FALSE,TRUE,,0,1,,,
69,0.004483819,0.003017187,0.003630221,0.005961299,0.005222559,0.003323704,FALSE,TRUE,,0,1,,,
70,0.002502918,0.002996027,0.001959324,0.002154887,0.002328902,0.002477676,TRUE,FALSE,,1,0,,,
71,0.003570616,0.002525449,0.003538966,0.003850162,0.003710389,0.003032207,FALSE,TRUE,,0,1,,,
72,0.001774728,0.00225234,0.002557039,0.001649201,0.001711965,0.00240469,TRUE,FALSE,,1,0,,,
73,0.002606213,0.001746714,0.001790762,0.001856744,0.002231479,0.001768738,FALSE,TRUE,,0,1,,,
74,0.003089666,0.002141714,0.002923906,0.002599478,0.002844572,0.00253281,FALSE,TRUE,,0,1,,,
75,0.0033921,0.003306508,0.00405544,0.003063083,0.003227592,0.003680974,TRUE,FALSE,,1,0,,,
76,0.003636122,0.003242552,0.003432155,0.002848208,0.003242165,0.003337353,TRUE,FALSE,,1,0,,,
77,0.003106713,0.001699746,0.002199471,0.001505136,0.002305925,0.001949608,FALSE,TRUE,,0,1,,,
78,0.002447426,0.007184327,0.004673183,0.00462234,0.003534883,0.005928755,TRUE,FALSE,,1,0,,,
79,0.002485156,0.002775013,0.002539098,0.003547311,0.003016233,0.002657056,FALSE,TRUE,,0,1,,,
80,0.004869163,0.003537357,0.0038203,0.003788471,0.004328817,0.003678828,FALSE,TRUE,,0,1,,,
81,0.002142608,0.002443731,0.003364623,0.002734601,0.002438605,0.002904177,TRUE,FALSE,,1,0,,,
82,0.002758265,0.004273772,0.001560509,0.003507078,0.003132671,0.002917141,FALSE,TRUE,,0,1,,,
83,0.002982438,0.003135324,0.002449393,0.003188729,0.003085583,0.002792358,FALSE,TRUE,,0,1,,,
84,0.002803743,0.004062474,0.003088355,0.003052354,0.002928048,0.003575414,TRUE,FALSE,,1,0,,,
85,0.003361166,0.00183028,0.001891911,0.003739953,0.003550559,0.001861095,FALSE,TRUE,,0,1,,,
86,0.003486037,0.00267303,0.001746655,0.002215326,0.002850682,0.002209842,FALSE,TRUE,,0,1,,,
87,0.003295422,0.002124846,0.002805591,0.002764463,0.003029943,0.002465218,FALSE,TRUE,,0,1,,,
88,0.002346277,0.002785325,0.004129112,0.001949847,0.002148062,0.003457218,TRUE,FALSE,,1,0,,,
89,0.002491653,0.001731634,0.002455533,0.001737237,0.002114445,0.002093583,FALSE,TRUE,,0,1,,,
90,0.002389014,0.003559351,0.004378378,0.001999617,0.002194315,0.003968865,TRUE,FALSE,,1,0,,,
91,0.002388537,0.002534866,0.003645241,0.002102196,0.002245367,0.003090054,TRUE,FALSE,,1,0,,,
92,0.002112389,0.002934635,0.002287149,0.002019465,0.002065927,0.002610892,TRUE,FALSE,,1,0,,,
93,0.002085924,0.002028644,0.003468454,0.003136992,0.002611458,0.002748549,TRUE,FALSE,,1,0,,,
94,0.003289878,0.00285393,0.003314853,0.001981199,0.002635539,0.003084391,TRUE,FALSE,,1,0,,,
95,0.001540184,0.002582908,0.002098382,0.001909554,0.001724869,0.002340645,TRUE,FALSE,,1,0,,,
96,0.002454877,0.001396894,0.001985073,0.002190351,0.002322614,0.001690984,FALSE,TRUE,,0,1,,,
97,0.0048365,0.005456686,0.002714992,0.002735555,0.003786027,0.004085839,TRUE,FALSE,,1,0,,,
98,0.002624571,0.005075157,0.00410372,0.003479004,0.003051788,0.004589438,TRUE,FALSE,,1,0,,,
99,0.003240824,0.004012167,0.003060043,0.002910972,0.003075898,0.003536105,TRUE,FALSE,,1,0,,,
100,0.004561484,0.003351033,0.003584385,0.003526866,0.004044175,0.003467709,FALSE,TRUE,,0,1,,,
101,0.002450228,0.003281415,0.002019286,0.001859426,0.002154827,0.00265035,TRUE,FALSE,,1,0,,,
102,0.004622996,0.004472017,0.004798472,0.005914211,0.005268604,0.004635245,FALSE,TRUE,,0,1,,,
103,0.002552569,0.003425658,0.004478991,0.002780974,0.002666771,0.003952324,TRUE,FALSE,,1,0,,,
104,0.006621361,0.003193378,0.003650904,0.005423784,0.006022573,0.003422141,FALSE,TRUE,,0,1,,,
